RHEUMATOID ARTHRITIS,rheumatoid_arthritis
MULTIPLE SCLEROSIS,multiple_sclerosis
HYPERTENSION,hypertension
DEPRESSION,depression
PAIN,pain
DIABETES MELLITUS,diabetes_mellitus
HEPATITIS C,hepatitis_c
CONTRACEPTION,contraception
OSTEOPOROSIS,osteoporosis
TYPE 2 DIABETES MELLITUS,type_2_diabetes_mellitus
HIV INFECTION,hiv_infection
MULTIPLE MYELOMA,multiple_myeloma
PSORIASIS,psoriasis
HORMONE REPLACEMENT THERAPY,hormone_replacement_therapy
ASTHMA,asthma
CROHN'S DISEASE,chrohns_disease
PROPHYLAXIS,prophylaxis
BLOOD CHOLESTEROL INCREASED,blood_cholesterol_increased
BREAST CANCER,breast_cancer
PERITONEAL DIALYSIS,peritoneal_dialysis
ANXIETY,anxiety
ATRIAL FIBRILLATION,atrial_fibrillation
SMOKING CESSATION THERAPY,smoking_cessation_therapy
PSORIATIC ARTHROPATHY,psoriatic_arthropathy
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,chronic_obstructive_pulminary_disease
BIPOLAR DISORDER,bipolar_disorder
INSOMNIA,insomnia
GASTROOESOPHAGEAL REFLUX DISEASE,gastrooesophageal_reflux_disease
SCHIZOPHRENIA,schizophrenia
DIABETES MELLITUS NON-INSULIN-DEPENDENT,diabetes_mellitus_non_insulin_dependent
EPILEPSY,epilepsy
ARTHRITIS,arthritis
BACK PAIN,back_pain
PULMONARY ARTERIAL HYPERTENSION,pulmonary_arterial_hypertension
NON-SMALL CELL LUNG CANCER,non_small_cell_lung_cancer
ATTENTION DEFICIT/HYPERACTIVITY DISORDER,adhd
HYPOTHYROIDISM,hypothyroidism
PREMEDICATION,premedication
MIGRAINE,migraine
